ticker,modal_timing,agreement_share,n_events,n_bmo,n_amc,recent_timing,switched,confidence
SJM,BMO,1.0,42,42,0,BMO,False,high
SLB,BMO,0.905,42,38,4,BMO,False,high
SMCI,AMC,0.912,57,5,52,AMC,False,high
SNA,BMO,1.0,42,42,0,BMO,False,high
SNDK,AMC,1.0,5,0,5,AMC,False,medium
SNPS,AMC,1.0,44,0,44,AMC,False,high
SO,BMO,0.917,48,44,4,BMO,False,high
SOLV,AMC,0.889,9,1,8,AMC,False,medium
SPG,AMC,0.561,41,18,23,AMC,False,low
SPGI,BMO,0.93,43,40,3,BMO,False,high
SRE,AMC,1.0,8,0,8,AMC,False,high
STE,AMC,0.967,30,1,29,AMC,False,high
STLD,AMC,0.75,32,8,24,AMC,False,medium
STT,BMO,0.977,43,42,1,BMO,False,high
STX,AMC,0.531,49,23,26,AMC,False,low
STZ,BMO,0.822,45,37,8,AMC,True,medium
SW,BMO,0.875,8,7,1,BMO,False,medium
SWK,BMO,0.977,44,43,1,BMO,False,high
SWKS,AMC,0.956,45,2,43,AMC,False,high
SYF,BMO,1.0,42,42,0,BMO,False,high
SYK,AMC,0.978,45,1,44,AMC,False,high
SYY,BMO,0.977,44,43,1,BMO,False,high
T,BMO,0.75,44,33,11,BMO,False,medium
TAP,BMO,0.953,43,41,2,BMO,False,high
TDG,BMO,1.0,47,47,0,BMO,False,high
TDY,BMO,0.977,43,42,1,BMO,False,high
TECH,BMO,0.976,41,40,1,BMO,False,high
TEL,BMO,0.977,43,42,1,BMO,False,high
TER,BMO,1.0,41,41,0,BMO,False,high
TFC,BMO,0.81,42,34,8,BMO,False,medium
TGT,BMO,1.0,43,43,0,BMO,False,high
TJX,BMO,1.0,30,30,0,BMO,False,high
TKO,AMC,0.923,13,1,12,AMC,False,high
TMO,BMO,1.0,45,45,0,BMO,False,high
TMUS,AMC,0.605,43,17,26,BMO,True,low
TPL,AMC,1.0,22,0,22,AMC,False,high
TPR,BMO,0.957,46,44,2,BMO,False,high
TRGP,BMO,0.956,45,43,2,BMO,False,high
TRMB,AMC,0.617,47,18,29,BMO,True,low
TROW,BMO,0.95,20,19,1,BMO,False,high
TRV,BMO,1.0,44,44,0,BMO,False,high
TSCO,BMO,0.739,46,34,12,BMO,False,medium
TSLA,AMC,0.628,86,32,54,BMO,True,low
TSN,BMO,1.0,42,42,0,BMO,False,high
TT,BMO,1.0,41,41,0,BMO,False,high
TTD,AMC,0.821,39,7,32,AMC,False,medium
TTWO,AMC,0.976,41,1,40,AMC,False,high
TXN,AMC,0.977,43,1,42,AMC,False,high
TXT,BMO,1.0,41,41,0,BMO,False,high
TYL,AMC,0.907,43,4,39,AMC,False,high
UAL,AMC,0.915,59,5,54,AMC,False,high
UBER,BMO,0.6,35,21,14,BMO,False,low
UDR,AMC,1.0,42,0,42,AMC,False,high
UHS,BMO,0.614,44,27,17,BMO,False,low
ULTA,AMC,1.0,42,0,42,AMC,False,high
UNH,BMO,1.0,42,42,0,BMO,False,high
UNP,BMO,0.977,43,42,1,BMO,False,high
UPS,BMO,1.0,42,42,0,BMO,False,high
URI,AMC,1.0,42,0,42,AMC,False,high
USB,BMO,1.0,42,42,0,BMO,False,high
V,AMC,0.976,42,1,41,AMC,False,high
VEEV,AMC,0.933,45,3,42,AMC,False,high
VICI,AMC,0.971,35,1,34,AMC,False,high
VLO,BMO,0.978,45,44,1,BMO,False,high
VLTO,AMC,1.0,11,0,11,AMC,False,high
VMC,BMO,0.795,39,31,8,BMO,False,medium
VRSK,AMC,0.707,41,12,29,BMO,True,medium
VRSN,AMC,1.0,41,0,41,AMC,False,high
VRT,BMO,0.926,27,25,2,BMO,False,high
VRTX,AMC,0.977,43,1,42,AMC,False,high
VST,BMO,1.0,36,36,0,BMO,False,high
VTR,BMO,0.581,43,25,18,AMC,True,low
VTRS,BMO,0.909,22,20,2,BMO,False,high
VZ,BMO,1.0,42,42,0,BMO,False,high
WAB,BMO,1.0,44,44,0,BMO,False,high
WAT,BMO,0.977,43,42,1,BMO,False,high
WBD,BMO,0.841,44,37,7,BMO,False,medium
WDAY,AMC,0.977,44,1,43,AMC,False,high
WDC,AMC,0.907,43,4,39,AMC,False,high
WEC,BMO,0.956,45,43,2,BMO,False,high
WELL,AMC,0.6,55,22,33,AMC,False,low
WFC,BMO,0.956,45,43,2,BMO,False,high
WM,BMO,0.714,42,30,12,AMC,True,medium
WMB,AMC,0.881,42,5,37,AMC,False,medium
WMT,BMO,1.0,42,42,0,BMO,False,high
WRB,AMC,0.976,41,1,40,AMC,False,high
WSM,AMC,0.7,40,12,28,BMO,True,medium
WST,BMO,0.925,40,37,3,BMO,False,high
WTW,BMO,0.978,45,44,1,BMO,False,high
WY,BMO,0.561,41,23,18,AMC,True,low
WYNN,AMC,1.0,42,0,42,AMC,False,high
XEL,AMC,0.976,41,1,40,AMC,False,high
XOM,BMO,0.894,47,42,5,BMO,False,medium
XYL,BMO,0.956,45,43,2,BMO,False,high
XYZ,AMC,0.952,42,2,40,AMC,False,high
YUM,BMO,0.864,44,38,6,BMO,False,medium
ZBH,BMO,0.957,46,44,2,BMO,False,high
ZBRA,BMO,0.976,42,41,1,BMO,False,high
ZTS,BMO,1.0,42,42,0,BMO,False,high
