collected_at,collection_date,ticker,status,earnings_date,days_to_earnings,spot,expiry,strike,implied_em,note,days_expiry_after_earnings,moneyness,call_bid,call_ask,call_last,call_iv,call_volume,call_oi,put_bid,put_ask,put_last,put_iv,put_volume,put_oi,call_mid,put_mid,price_source,straddle_price,call_rel_spread,put_rel_spread,parity_gap,hist_em,sector,divergence
2026-07-30T15:19:45,2026-07-30,BAX,ok,2026-07-30,0.0,26.44,2026-07-31,26.0,0.030257,,1.0,-0.01664,0.4,0.9,0.63,0.50586431640625,10.0,125.0,0.05,0.25,0.1,0.5625043750000001,80.0,1.0,0.65,0.15,mid,0.8,0.76923,1.33333,0.0022692889561270317,0.1025309279265988,Health Care,0.2951012012849506
2026-07-30T15:19:32,2026-07-30,AMZN,ok,2026-07-30,0.0,239.4899,2026-07-31,240.0,0.074847,,1.0,0.00213,7.8,7.9,7.86,1.142582412109375,16880.0,16883.0,10.0,10.15,9.99,1.389407349853515,3126.0,2887.0,7.85,10.075,mid,17.925,0.01274,0.01489,0.007160636001768759,0.056042153870925,Consumer Discretionary,1.3355482405688026
2026-07-30T15:19:16,2026-07-30,AAPL,ok,2026-07-30,0.0,333.71,2026-07-31,332.5,0.035285,,1.0,-0.00363,6.55,6.55,6.55,0.5969278588867188,26511.0,1875.0,5.15,5.3,5.22,0.5953409606933593,8265.0,3913.0,6.55,5.225,mid,11.775,0.0,0.02871,0.00034461059003328966,0.0196829721781137,Information Technology,1.7926662538920228
2026-07-29T15:56:56,2026-07-29,VRT,ok,2026-07-29,0.0,223.675,2026-07-31,220.0,0.062814,,2.0,-0.01643,7.05,8.55,8.3,0.7202176416015625,29.0,1.0,5.8,6.7,6.26,0.9914551635742188,752.0,1242.0,7.800000000000001,6.25,mid,14.05,0.19231,0.144,0.009500391192578518,0.0872746910869178,Industrials,0.7197275546635034
2026-08-05T15:22:11,2026-08-05,APP,ok,2026-08-05,0.0,423.06,2026-08-07,422.5,0.112632,,2.0,-0.00132,23.0,24.5,24.0,1.5367454803466798,80.0,51.0,23.0,24.8,25.4,1.5820333398437496,151.0,8.0,23.75,23.9,mid,47.65,0.06316,0.07531,0.0016782489481396955,0.1789523013476252,Information Technology,0.6293967674727236
2026-07-23T15:24:52,2026-07-23,FCX,ok,2026-07-23,0.0,63.765,2026-07-24,64.0,0.032777,,1.0,0.00369,0.63,0.9,0.77,0.5371140039062501,790.0,3065.0,1.01,1.64,1.45,0.63867548828125,539.0,1250.0,0.765,1.325,mid,2.09,0.35294,0.47547,0.005096839959225325,0.0193155224309254,Materials,1.6969253675231637
2026-07-23T15:24:22,2026-07-23,DOW,ok,2026-07-23,0.0,31.125,2026-07-24,31.0,0.031647,,1.0,-0.00402,0.45,0.69,0.47,0.5507857421875001,115.0,723.0,0.28,0.55,0.48,0.51758294921875,177.0,197.0,0.57,0.415,mid,0.985,0.42105,0.6506,0.0009638554216867835,0.0551795286044337,Materials,0.5735279151597745
2026-07-23T15:24:19,2026-07-23,DLR,ok,2026-07-23,0.0,179.45,2026-07-24,180.0,0.0365,,1.0,0.00306,2.1,3.7,2.86,0.596683720703125,43.0,120.0,3.2,4.1,3.21,0.6347692773437501,24.0,62.0,2.9000000000000004,3.65,mid,6.55,0.55172,0.24658,0.001114516578434041,0.0345040157348279,Real Estate,1.0578478829974964
2026-08-05T15:24:52,2026-08-05,KHC,ok,2026-08-05,0.0,25.675,2026-08-07,25.5,0.021422,,2.0,-0.00682,0.32,0.39,0.32,0.3183661914062499,625.0,494.0,0.16,0.23,0.2,0.33399103515625,314.0,432.0,0.355,0.195,mid,0.55,0.19718,0.35897,0.000584225900681619,0.0271065498988401,Consumer Staples,0.7902886970103361
2026-07-22T15:14:09,2026-07-22,CME,ok,2026-07-22,0.0,250.23,2026-07-24,250.0,0.024178,,2.0,-0.00092,2.5,3.4,3.1,0.3630434790039062,1222.0,204.0,2.7,3.5,2.96,0.399420068359375,73.0,108.0,2.95,3.1,mid,6.05,0.30508,0.25806,0.001518602885345464,0.0105914812360232,Financials,2.282777966670708
2026-07-22T15:14:28,2026-07-22,CSX,ok,2026-07-22,0.0,49.84,2026-07-24,50.0,0.045646,,2.0,0.00321,1.05,1.25,1.13,0.6806672558593752,2028.0,1533.0,1.05,1.2,1.1,0.57812921875,121.0,399.0,1.15,1.125,mid,2.275,0.17391,0.13333,0.0037118780096307216,0.0228634361218015,Industrials,1.9964628132371631
2026-07-23T15:23:26,2026-07-23,BX,ok,2026-07-23,0.0,124.145,2026-07-24,124.0,0.021829,,1.0,-0.00117,0.77,1.56,1.29,0.4057676611328125,111.0,222.0,1.24,1.85,1.5,0.524418818359375,26.0,194.0,1.165,1.545,mid,2.71,0.67811,0.39482,0.0042289258528333115,0.0263564340132517,Financials,0.8282228160692998
2026-08-05T15:22:19,2026-08-05,AXON,ok,2026-08-05,0.0,605.39,2026-08-07,610.0,0.131485,,2.0,0.00761,35.9,40.5,36.63,1.8431404327392575,23.0,65.0,38.0,44.8,40.95,1.7786876300048828,1.0,12.0,38.2,41.4,mid,79.6,0.12042,0.16425,0.0023290771238376616,0.1554847140034773,Industrials,0.8456458298341754
2026-08-05T15:25:03,2026-08-05,LLY,ok,2026-08-05,0.0,1161.25,2026-08-07,1160.0,0.030205,,2.0,-0.00108,13.7,19.0,18.0,0.4375666595458984,633.0,666.0,15.0,22.45,16.55,0.5496260858154298,180.0,77.0,16.35,18.725,mid,35.075,0.32416,0.39786,0.003121636167922497,0.0812452803623347,Health Care,0.37177544178926897
2026-07-23T15:28:39,2026-07-23,UNP,ok,2026-07-23,0.0,304.575,2026-07-24,302.5,0.017565,,1.0,-0.00681,3.1,3.1,4.9,0.2097246997070312,8.0,8.0,0.8,3.7,11.1,0.5205126074218749,2.0,7.0,3.1,2.25,mid,5.35,0.0,1.28889,0.004021997865878571,0.0312053478768025,Industrials,0.5628842873133777
2026-07-23T15:28:25,2026-07-23,TSCO,ok,2026-07-23,0.0,30.195,2026-07-24,30.0,0.025667,,1.0,-0.00646,0.3,0.4,0.35,0.3281317187499999,692.0,450.0,0.2,0.65,0.5,0.5820354296875,360.0,908.0,0.35,0.425,mid,0.775,0.28571,1.05882,0.008941877794336797,0.0375562812169508,Consumer Discretionary,0.6834276229781598
2026-07-23T15:28:20,2026-07-23,TMUS,ok,2026-07-23,0.0,174.31,2026-07-24,177.5,0.024382,,1.0,0.0183,0.7,1.9,1.05,0.6254920263671876,1114.0,7.0,2.1,3.8,3.0,0.3398503515625,140.0,250.0,1.2999999999999998,2.95,mid,4.25,0.92308,0.57627,0.008834834490276063,0.0517374315836768,Communication Services,0.47126421342671637
2026-07-23T15:28:18,2026-07-23,TMO,ok,2026-07-23,0.0,576.05,2026-07-24,580.0,0.023566,,1.0,0.00686,2.15,4.5,3.4,0.3678041735839844,618.0,783.0,7.5,13.0,8.92,0.6392858337402343,6.0,10.0,3.325,10.25,mid,13.575,0.70677,0.53659,0.005164482249804547,0.0339184517454784,Health Care,0.6947840714204043
2026-07-23T15:27:12,2026-07-23,PCG,ok,2026-07-23,0.0,17.555,2026-07-24,17.5,0.021931,,1.0,-0.00313,0.23,0.37,0.31,0.523442265625,311.0,1425.0,0.06,0.11,0.07,0.2617261328125,48.0,2022.0,0.3,0.0849999999999999,mid,0.385,0.46667,0.58824,0.009114212475078334,0.0092092233662213,Utilities,2.381416882605016
2026-07-23T15:26:50,2026-07-23,NEM,ok,2026-07-23,0.0,94.57,2026-07-24,95.0,0.062388,,1.0,0.00455,1.85,2.78,2.84,0.9018564501953124,733.0,687.0,2.62,4.55,2.66,1.203128984375,205.0,1153.0,2.315,3.585,mid,5.9,0.40173,0.53835,0.008882309400444002,0.0720333618466498,Materials,0.8660986853954756
2026-08-05T15:22:08,2026-08-05,APA,ok,2026-08-05,0.0,35.095,2026-08-07,35.0,0.051289,,2.0,-0.00271,0.9,0.99,1.05,0.7070341796875,45.0,144.0,0.78,0.93,0.95,0.710940390625,1.0,123.0,0.945,0.855,mid,1.8,0.09524,0.17544,0.0001424704373841132,0.0619177886894084,Energy,0.8283403055182662
2026-07-23T15:26:48,2026-07-23,NDAQ,ok,2026-07-23,0.0,91.38,2026-07-24,91.0,0.02517,,1.0,-0.00416,1.0,2.35,1.4,0.5488326367187502,35.0,75.0,0.15,1.1,0.52,0.4755911816406249,24.0,33.0,1.675,0.625,mid,2.3,0.80597,1.52,0.007332020135697108,0.0269199432804062,Financials,0.9349945405836013
2026-07-23T15:26:15,2026-07-23,LMT,ok,2026-07-23,0.0,569.52,2026-07-24,570.0,0.017603,,1.0,0.00084,2.85,6.2,5.65,0.3819641882324218,216.0,158.0,4.2,6.8,6.0,0.3903869555664062,53.0,6.0,4.525,5.5,mid,10.025,0.74033,0.47273,0.0008691529709228905,0.0503712125912619,Industrials,0.349465480270246
2026-07-22T15:18:48,2026-07-22,PM,ok,2026-07-22,0.0,193.62,2026-07-24,192.5,0.026728,,2.0,-0.00578,2.9,3.4,3.2,0.4016173120117187,150.0,411.0,1.8,2.25,2.55,0.3972228247070312,62.0,190.0,3.15,2.025,mid,5.175,0.15873,0.22222,2.5823778535251793e-05,0.0532096438447693,Consumer Staples,0.5023149577541752
2026-07-22T15:18:44,2026-07-22,PHM,ok,2026-07-22,0.0,125.75,2026-07-24,126.0,0.025447,,2.0,0.00199,1.65,2.05,1.7,0.4770560107421875,6.0,17.0,1.15,1.55,4.2,0.3122627368164062,1.0,14.0,1.85,1.35,mid,3.2,0.21622,0.2963,0.005964214711729622,0.0498011232835469,Consumer Discretionary,0.5109724103031845
2026-08-05T15:23:17,2026-08-05,DASH,ok,2026-08-05,0.0,203.77,2026-08-07,205.0,0.10134,,2.0,0.00604,10.45,10.9,10.5,1.527101973876953,175.0,156.0,9.7,10.25,10.15,1.2651403930664062,238.0,38.0,10.675,9.975,mid,20.65,0.04215,0.05514,0.009471462923884805,0.068946249885369,Consumer Discretionary,1.4698406391716634
2026-07-22T15:15:49,2026-07-22,GOOG,ok,2026-07-22,0.0,345.3,2026-07-24,345.0,0.056617,,2.0,-0.00087,10.2,10.3,10.25,0.8092060095214844,1605.0,1377.0,9.15,9.45,9.4,0.7570825073242189,2388.0,1678.0,10.25,9.3,mid,19.55,0.00976,0.03226,0.001882421083116065,0.0378209315417813,Communication Services,1.4969752909828364
2026-07-22T15:15:50,2026-07-22,GOOGL,ok,2026-07-22,0.0,345.78,2026-07-24,345.0,0.058419,,2.0,-0.00226,10.55,11.0,10.7,0.8315446533203124,1063.0,956.0,9.35,9.5,9.5,0.7851583984375,7329.0,2867.0,10.775,9.425,mid,20.2,0.04176,0.01592,0.0016484469894152156,0.0389113589377025,Communication Services,1.5013353836736836
2026-07-22T15:18:14,2026-07-22,NOW,ok,2026-07-22,0.0,95.83,2026-07-24,96.0,0.117135,,2.0,0.00177,5.45,5.5,5.45,1.6040058862304685,1755.0,247.0,5.7,5.8,5.76,1.6342791723632812,1234.0,1777.0,5.475,5.75,mid,11.225,0.00913,0.01739,0.0010956902848795157,0.0829544712050798,Information Technology,1.412039620027463
2026-08-05T15:23:24,2026-08-05,DIS,ok,2026-08-05,0.0,101.5791,2026-08-07,102.0,0.021461,,2.0,0.00414,0.9,1.02,0.98,0.331061376953125,2820.0,2926.0,1.15,1.29,1.25,0.2895578857421874,200.0,45.0,0.96,1.22,mid,2.18,0.125,0.11475,0.0015839872572212005,0.0640173891916305,Communication Services,0.3352370390451001
2026-08-05T15:23:32,2026-08-05,EBAY,ok,2026-08-05,0.0,108.14,2026-08-07,108.0,0.081607,,2.0,-0.00129,4.3,4.5,4.18,1.108402895507813,43.0,33.0,4.3,4.55,4.55,1.150394873046875,57.0,90.0,4.4,4.425,mid,8.825,0.04545,0.0565,0.0015257998890326617,0.0734645210470772,Consumer Discretionary,1.1108355276379598
2026-07-22T15:17:36,2026-07-22,LVS,ok,2026-07-22,0.0,45.4,2026-07-24,45.5,0.073789,,2.0,0.0022,1.53,1.84,1.8,1.0556687841796877,6.0,52.0,1.4,1.93,1.4,0.98242205078125,23.0,36.0,1.685,1.665,mid,3.35,0.18398,0.31832,0.002643171806167501,0.0776379963517902,Consumer Discretionary,0.9504238062204776
2026-08-05T15:23:51,2026-08-05,EXPE,ok,2026-08-05,0.0,318.435,2026-08-07,310.0,0.096252,,2.0,-0.02649,17.5,20.4,19.8,1.2624548596191407,1.0,85.0,10.6,12.8,12.4,1.3696320581054686,63.0,2.0,18.95,11.7,mid,30.65,0.15303,0.18803,0.003721324603137225,0.102335833792435,Consumer Discretionary,0.9405503080692666
2026-07-22T15:17:35,2026-07-22,LUV,ok,2026-07-22,0.0,47.37,2026-07-24,47.5,0.068292,,2.0,0.00274,1.56,1.76,1.8,1.0058643457031249,4.0,271.0,1.44,1.71,1.6,0.8798840136718749,34.0,96.0,1.66,1.575,mid,3.235,0.12048,0.17143,0.004538737597635557,0.0738492392091526,Industrials,0.9247488631072608
2026-07-22T15:16:17,2026-07-22,IBM,ok,2026-07-22,0.0,205.78,2026-07-24,205.0,0.065726,,2.0,-0.00379,7.0,7.3,7.0,0.9091805957031248,1274.0,2156.0,6.2,6.55,6.35,0.909913010253906,1064.0,3186.0,7.15,6.375,mid,13.525,0.04196,0.0549,2.4297793760304465e-05,0.064890894104779,Information Technology,1.0128693849382406
